title,speaker,description,votes
How to count crowds,Proposed by Steve Doig about 1 month ago.,"It's up to us -- reporters who can do math --  to bring wildly inflated crowd counts down to size. I'll show how easy it is to make a realistic estimate of the crowd at your city's next championship parade, political rally or protest march.",4
What not to map,Proposed by Ben Chartoff about 1 month ago.,"Everybody loves maps (right?), but they are far too often misleading, confusing, or straight up wrong. I'll show some misleading maps, and then some alternative visualizations of the same data. Also, some examples of effective maps and discussion of what makes them work.",16
Famous dead nerds,Proposed by Chris Chang about 1 month ago.,Attention nerds of the present: did you know much of our lingo comes from the names of famous people? I'll look things up on wikipedia and then give a summary (just like high school). There will be crazy facial hair and silly hats (at NICAR and in my talk).,10
SDR (Software Defined Radio) in the newsroom,Proposed by Jonathan Keegan about 1 month ago.,"How to use a $25 USB TV antenna to make a police / fire scanner using software-defined radio, and some open source tools.",20
"Old MacDonald's (data, map, app) farm",Proposed by Pam Dempsey about 1 month ago.,"Think the Farm Bill is off your beat? Think again! These obscure data sets, maps and apps will help you better cover agribusiness and the stories stemming from the new $1 trillion farm bill. ",9
Fun with CUSIPs,Proposed by Cezary Podkul about 1 month ago.,"A quick talk on how to chop up CUSIPs to identify the riskiest bit of a bond offering, map it to its owners, figure out what a CUSIP means just by looking at it, when the Fed might buy it, and other neat tricks for working with Wall Street's most important security identifier. ",3
Friends don't let friends do data dumps,Proposed by Emily about 1 month ago.,You've all seen it. HTML tables that are so big readers have no idea how to make sense of it. We all know how powerful data can be (that's why we're heading to NICAR) but the high volume of numbers means we have to decide how much of it we put online. Too much and the data may intimidate. Too little and your story may not paint the whole picture. Let's talk about what's engaging for readers and when we run the risk of information overload.,19
NICAR Time Machine,Proposed by Heather Billings about 1 month ago.,"Photos of today's hottest data journalists and news application nerds before they were stars! A full five minutes of the good, the better, the hilarious.",24
"Open data may be the future. Until then, we need journalists.",Proposed by Tom Meagher about 1 month ago.,"One day, every local, county, state and federal agency will publish petabytes of regularly updated, well documented, structured feeds of public data on the open web. 
For now though, the most important step in any data project is good, old-fashioned shoe leather beat reporting. I'll talk about how to develop sources in government agencies and cajole them into telling you where the data is buried.",17
How to use Github to commit journalism,Proposed by Tom Meagher about 1 month ago.,"In some newsrooms, the task of building interactive graphics and news apps can be an afterthought, happily consigned to the specialists in the basement. I'll show you how the data team at Project Thunderdome harnesses the power of Github Issues to seduce diehard word nerds to explore data journalism and dabble in the interactive arts.",19
5 EPSG Codes That Propagate the Imperialist Agenda,Proposed by PostPostGIS about 1 month ago.,"4324
4326
4327
4328
4329
http://twitter.com/PostPostGIS",7
Refactoring; or Why Your Code Sucks and How to Fix It,Proposed by Christopher Groskopf about 1 month ago.,"Lost in your own code? Forgot what that variable does? Coworkers throwing books at you? Never fear! In five minutes I'll teach you three principles that will turn your shoddiest hacks into elegant, self-explanatory wonders.",44
Then the data turned back into people,Proposed by sarah slobin about 1 month ago.,"Some failures change the way you think. 
There was this dataset. It felt essential to the story. I tried every form I know to make it visual. In the end, portraits did that job. 
This is my short and sad story about numbers, science and why my new holy grail is finding a way to bring data and the people they represent closer together.",24
Noob Scraping,Proposed by Eric Holmberg about 1 month ago.,"Don't know Python or Ruby? Life isn't hopeless. Quickly learn how to extract data from the web using import.io, a pretty good tool for pulling structured data without any programming! My example: Creating a database of the 10,000+ child care centers in Texas.",9
Kill your ArcGIS (or: Spatial analysis as a science!),Proposed by ken schwencke about 1 month ago.,"Ditch your ArcGIS or QGIS workflow. Step up your game with reproducible, document-able familiar SQL commands that will do the spatial analysis heavy lifting for you. PostGIS is your new best friend.",28
Poaching unicorns,Proposed by Lindsey Cook about 1 month ago.,"We say journalism needs unicorns -- people who have backgrounds in both journalism and coding. Yet, universities and news organizations are discouraging journalism unicorns. Why are we so uncomfortable with people who don't fit in our pre-determined journalist or coder boxes? Let's talk about what universities and news organizations are doing to poach unicorns and how we can stop the bloodshed. ",16
What we can learn from terrible data viz,Proposed by Katie Park about 1 month ago.,"Pie charts that add up to 110 percent! Graphs so three-dimensional, they could be drawn by M. C. Escher! Anything from the NSA slides! You may think you'll never commit data viz sins like these, but you might come closer than you think. I'll show some of the silliest, most nonsensical visualizations on the web and talk about how they can teach us to present data accurately. ",49
DataViz = Fact-checking,Proposed by Sisi Wei about 1 month ago.,"DataViz shouldn't be the last thing you do for a project. Learn how designing and building data visualizations early can help you find missing pieces, catch errors in your data, and be your new fact-checking best friend.",39
Detecting What Isn't There,Proposed by Sisi Wei about 1 month ago.,"How ProPublica reverse engineered one company's API to catch censorship in China. Learn how important it can be to pay attention to error messages, and the challenges we faced when trying to fly under the radar.",40
Getting all data without asking,Proposed by Sebastian Mondial about 1 month ago.,"Companies hide their data treasures from you. I'll show how to get them from their maps, forms and especially smartphone apps. It's like scraping, but easier (no programming). If you are a pro, lets say this is ""Hidden API reloaded""",24
Supernatural strategies for hackathon success,Proposed by David Eads about 1 month ago.,"In the dark midwestern winter, I was visited by the ghosts of great journalists and geeks. Here's what they taught me about hackathons and collaboration! Here's the slides: https://www.dropbox.com/s/63yoqq0tgwgn2w3/supernatural%20strategies%20lightning%20talk%20nicar%202014.pdf",12
Programming Art: Sol LeWitt,Proposed by Chris Amico about 1 month ago.,What does it mean to make art as a series of instructions that can be executed even after the artist's death? This is what I've learned about art and programming from Sol LeWitt.,21
Is this the Holodeck for Journalism!? ,Proposed by Robert Hernandez about 1 month ago.,"No. What are you high? That said, technology like Augmented Reality is not longer a sci-fi dream or a cheesy Holloywood gimmick. It's real and in your back pocket. Learn more and explore using it for journalism.",12
I got shut down by the federal government for flying a drone and you can too!,Proposed by Matt Waite about 1 month ago.,Ever nearly piss yourself thinking of Gitmo while reading a scary letter from the federal government? It's AWESOME. Hear about where we are and how 2014 is going to be a big year if you have dreams of using your own flying robots for journalism. ,18
Faster web app building with Grunt and Bower,Proposed by Aaron Williams about 1 month ago.,"Grunt and Bower are two node.js modules that make building web applications easy peasy. This talk will discuss what these tools are, how they're used, and some common plugins that aid in the development process.",11
C.S. for Satire,Proposed by Chris Kirk about 1 month ago.,"How Slate.com uses code to ridicule the silliest things in politics and culture, including gerrymandering, Carlos Danger, Starbucks, The Great Gatsby, and Google Glass.",23
Using a drone to spy on a state legislator,Proposed by Paul Parker about 1 month ago.,"Last year, we used a drone to spy on a state legislator. What are the technical, meteorological, legal and ethical constraints on such a project? See raw footage of the surveillance.",8
Github Pages as a Content Management System,Proposed by M. Edward (Ed) Borasky about 1 month ago.,"Can you write a book on Github? Christopher Gandrud did! Can you host a blog on Github? With Octopress, hundreds have! Slideshows? Ramnath Vaidyanathan made it simple!

Github Pages is my CMS and I'll help you make it yours.",13
Five (more) algorithms in five (more) minutes,Proposed by Chase Davis about 1 month ago.,"A sequel to last year's lightning talk about crazy algorithms from math and computer science that can make us better journalists -- this time featuring: metric trees (for cleaning sloppy company names); useful examples of MapReduce; and much more. Once again, code and practical examples will be made available on Github. Special guest star, Dolph Lundgren.",49
