title,speaker,description,votes
"b'The end of maps, in 7 charts'",b'Proposed by: Darla Cameron',b'Got geographic data? A cartographer shares seven reasons why you should visualize it with something other than a map.',b'104'
"b'Decision, decisions! Lessons for deeply-interactive storytelling'",b'Proposed by: Nadja Popovich',"b'What if we asked more from our readers, rather than less? In this talk, I\xe2\x80\x99ll present examples of interactive projects that force readers to make meaningful decisions. These interactives demand more time and attention from readers, but reward them with a deeper, more visceral understanding of the topic at hand.'",b'71'
b'What do blind people see? A thought-talk about our obsession with visuals and how it translates for the blind',b'Proposed by: Suyeon Son',"b""They say a picture is worth a thousand words. Tweets do better when there are images attached. Gifs have developed their own culture. In a world where we strive for more visually-compelling stories, how are those elements relayed to the blind? In this talk, I will muse about how we could make visual-centric stories accessible to those that can't directly interpret pixels on a screen.""",b'65'
b'Beautiful Satellite Images in 5 Minutes',b'Proposed by: Jeff Larson',"b""Give me 5 minutes and I'll show you how to make cloudless beautiful satellite images of (almost) anywhere in the world. And I'll open source some code on stage to boot.""",b'61'
b'10 Things I Hate About You',b'Proposed by: Anthony Pesce',"b'Can coders and designers ever get along? From lazy CSS to last-minute feature requests, Lily Mihalik (designer) and Anthony Pesce (coder) work through their ""issues"" in a live therapy session.'",b'60'
b'5 data visualizations - each in 5 lines or less of R code',b'Proposed by: Sharon Machlis',"b'Afraid to make the leap from Excel to coding because you think it\'s ""too hard""? Thanks to some incredibly useful add-on packages, you can generate everything from maps to stats plots to interactive JavaScript graphics in just a few lines of R code. See why you shouldn\'t fear the command line!'",b'60'
b'Seven awesome features you will want in your next charting tool',b'Proposed by: Gregor Aisch',"b'In this session we will take a quick look at some features of ""Chartmaker"", the internal charting tool we pretty much build from scratch at the New York Times, and that now is the backbone for our data-driven journalism at TheUpshot.'",b'58'
b'Wrestling with data (without coding)',b'Proposed by: MaryJo Webster',"b'Pretty much every dataset I\xe2\x80\x99ve ever met has had some problem that required me to do a little wrestling with it before I could analyze it. Standardizing names. Splitting addresses. Pulling it out of a PDF. Or simply getting it out of a \xe2\x80\x9creport\xe2\x80\x9d structure. These days there are lots of tools you can use. I\xe2\x80\x99m a little old-school and find myself working on one-off projects where writing a script seems unnecessary. I\xe2\x80\x99m going to show you 10 of my go-to tools and tricks that I use over and over and over again, ranging from really easy to moderately complicated. If words like SQL, Python and Perl send chills down your spine, then these are definitely must-have\xe2\x80\x99s for your toolbox, whether you\xe2\x80\x99re a data newbie or have 30 years under your belt.'",b'58'
"b'The Five Stages of Terrible Data: Denial, Anger, Bargaining, Depression, Acceptance'",b'Proposed by: Steven Rich',"b""Your data isn't perfect. It never is. I'll tell you how you can (accurately) use data with holes and when to just throw it out and try something new.""",b'55'
"b""Stop trying to multitask. You're terrible at it.""",b'Proposed by: Chris Canipe',"b'When we split time, we lose time. We lose it writing and answering emails, dropping in and out of projects and remembering what function does what and which variables are stored where. When our brains are tired, we slip up. We make bad design choices, write sloppy code and forget edits. Science has a name for this mess: decision fatigue. We can only keep track of so many ideas and make so many decisions before we lose our edge. This talk will describe research on our feeble brains and present simple solutions for concentrating when it counts.'",b'53'
