title,speaker,description,votes
"b""Let's Talk About the Future of Interactive News Content""",b'Proposed by: Gregor Aisch',"b'For more than a decade news apps and graphics developers loved using the word ""interactive"" to describe all kinds of new things they put on the internet. But what does ""interactive"" even mean? Slideshows, tooltips and d3.js? Have we reached the peak of the golden age of ""interactives"", or has it just started? Let\'s take five minutes to look at where we are and where we\'re going...'",b'68'
"b""Let lookup save you from the boring, repetitive work you've forgotten you're even doing""",b'Proposed by: Chris Groskopf',"b""Admit it: you've copy and pasted a column of state names next to one of USPS codes... hundreds of times. You keep writing identical code to add the same state population numbers to different spreadsheets. Your nightmares echo with FIPS VLOOKUPs and CPI JOIN clauses. In this lightning talk I will introduce a tool and a project. The tool works. The project needs you. Together, we can forever vanquish the drudgery of the lookup table. Fans of csvkit or agate: please allow me to  introduce you to `lookup`.""",b'60'
b'Regular Regular Expression Exercises for Regular People',b'Proposed by: Dan Nguyen',"b""So you're not cut out to be one of those highfalutin programming databasers who can brag about their automated cloud bots bragging about their other automated cloud bots. But even if you're just a regular person with regular data needs, you can still learn and practice regular expressions to find and filter the kinds of things you already know you want to know from a pile of documents -- dates, names, money amounts -- and anything else that's a combination of the regular old alphabet and numbers 1 through 10.""",b'47'
"b'I Improved My Math Fluency, And So Can You'",b'Proposed by: Ryann Grochowski Jones',"b""In high school, math felt like a foreign language to me -- difficult to understand, stressful to learn and, above all, something to avoid. Now, not only is math a big part of my job, but it's enjoyable as well. I'll share several easy-to-adopt tips, tricks and habits, all of which increased my math fluency and will improve your understanding of any equations or formulas that you come across while you're reporting.""",b'46'
b'Map tiles are dead; Long live (vector) tiles!',b'Proposed by: Ken Schwencke',"b'How can you map every census tract in the US -- thousands of shapes -- easily, without rendering map tiles or melting a computer? How can you style it dynamically? Find out how vector tiles can change your life. Or at least your maps.'",b'43'
b'How to read 52 books in 52 weeks',b'Proposed by: Nicole Zhu',"b'With so much content to consume - Twitter conversations, listserv kerfuffles, the latest longform, Snapchat stories, hot takes and think pieces, the entire season of TV that just dropped on Netflix  - where do BOOKS fit in? I\'ll talk about (1) why you should set the daunting goal of reading 52 books in 52 weeks rather than just resolving to ""read more,"" (2) how you can achieve it, and (3) what things you\'ll learn (about the world and yourself).'",b'42'
b'Cats and Stats',b'Proposed by: Jennifer LaFleur',"b""Fresh off the European tour, it's cats AND stats. Stanley will demonstrate dichotomous variables. You'll learn about sampling from Gordon. Harley will give you tips for examining your data. It's not just cats. It's cats AND stats. Learn through the hilarious antics of the cats of NICARians.""",b'39'
b'Automation in the newsroom',b'Proposed by: Ariana Giorgi',"b'When it is worth it to use scripting and automation to produce our news stories? Should your newsroom bother with writing these scripts? I\xe2\x80\x99ll talk about what kind of automation has worked for stories in the past, where we can move in the future, and the kind of stories that will never be worth it to automate.'",b'39'
b'What I learned working on Failure Factories',b'Proposed by: Adam Playford',b'Building a case with analysis and visualization.',b'39'
b'Solve Every Statistics Problem with One Weird Trick',b'Proposed by: Jonathan Stray',"b'DON\'T OPEN THAT TEXTBOOK. Statistics is a cycle of abuse and I\'m here to make it stop. In five minutes I\'ll show you the refreshing new approach that everyone\'s talking about: randomization and visualization. Learn what types of problems statistics really solves and how to solve them with just a few lines of common sensel code. Get the right answer faster than you can say ""Monte Carlo"" and never memorize a formula again!'",b'38'
"b""Don't crAMP our style!""",b'Proposed by: Rich Harris',"b""Google's AMP project will make the mobile web faster. It will also strike a death blow to innovation in digital journalism. Learn why it's so dangerous \xe2\x80\x93 and what we can do to prevent the AMPocalypse.""",b'37'
b'How $200 and open source software can help you track the flights of globe-trotting billionaire playboys',b'Proposed by: David Yanfosky',"b'We tracked helicopters at the World Economic Forum in Davos Switzerland (http://qz.com/600590/) using a Raspberry Pi, a $20 USB stick, and some wire most typically found connected to your cable box. Let me show you how we built it and how we were not only able to find helicopters in the haystack of the 2 million data points it collected, but also who owned them.'",b'33'
b'How I Mapped Messy Gang Turfs From Scratch',b'Proposed by: Evie Liu',"b""No latlng, no address, no shape file? Have no fear, that doesn\xe2\x80\x99t deny our chance making a map. I'll show you how I turned pages of scanned notes by the police into an interactive map in three days. Learn what kind of help you'll need and how to draw a map from scratch.""",b'33'
b'Data Cleaning Made Easy(er): Excel and R Side-by-Side',b'Proposed by: Christine Zhang',"b'We spend a lot of time cleaning data in our programming language of choice. But is it the right one? Using Excel and R for two simple tasks, we (Sandhya Kambhampati and Christine Zhang) will show you the pros and cons of each. You be the judge.'",b'30'
b'Interaction considered harmful',b'Proposed by: John Muyskens',"b'Bret Victor, in his essay ""Magic Ink,"" argues that interactivity in software interfaces is a ""curse."" He argues that interaction, for the user of information software, is a liability that should be minimized, extending Tufte\'s ideas about data visualization to software design. What can we as designers and developers of ""interactives,"" ""news apps"" and software journalism tools learn from Victor\'s ideas about information and interface design?'",b'30'
b'Ding! Finding new ways to level up new data journalists',b'Proposed by: Thomas Wilburn',"b'There\'s a big gap between ""student journalist"" and ""hardened newsroom coder,"" and existing solutions for bridging that gap (such as workshops and internships) don\'t seem to have eased the difficulty that many newsrooms have with finding talent. Certainly academia does not appear to be adequately addressing the need for skills. Can we create a solution for training outside of those systems, to create more experienced (and more diverse) journalists? This talk covers my experiences after posting a call for remote mentees to the NICAR-L list, and looks at other approaches taken from open-source software and other industries that might help.'",b'29'
b'Machine Learning - for Dummies!',b'Proposed by: Ariana Giorgi',"b'You don\xe2\x80\x99t have to be a computer scientist - or even great at coding - to use machine learning in your data stories. I\xe2\x80\x99ll talk about some of the easiest ways to make stories more robust with simple machine learning methods, along with some examples.'",b'28'
b'Living Through the News',b'Proposed by: Mallory Busch',"b""I was in Paris on Nov. 13 when ISIS attacked the city. In this talk, I'll share some of my experiences during the attacks \xe2\x80\x93\xe2\x80\x93 how I found out, how I stayed updated, how I figured out what could and could not be trusted. And in the days following: what did I learn about journalism \xe2\x80\x93\xe2\x80\x93 as I went from a person covering the news, to someone living through it?""",b'28'
b'Turning Investigations Into Radio or: What I Learned Moving From Print to the Pig Farm',b'Proposed by: Peggy Lowe',"b'How can stories with lots of numbers, looonng explanations and dozens of interviews become compelling audio stories? How can I translate a one-year investigation into a four\xe2\x80\x93minute piece? And more importantly, how can the print peeps who used to do that work at newspapers make the transition to radio and podcasting? Peggy Lowe, investigations editor at Harvest Public Media and KCUR, gives her top tips on moving from ink to air.'",b'27'
b'The Dark Side of Regression: P-hacking with R',b'Proposed by: Andrew Flowers',"b'Did you now that eating egg rolls was linked to dog ownership? And potato chips to a higher SAT maths core? Well...not really. These relationships *are* statistically significant; but they were found by ""p-hacking"" data from nutrition studies. In this lighting talk I\'ll show you how to do regression analysis in R the evil way, by reworking a FiveThirtyEight story. By learning the ""dark side"" of statistics, hopefully you\'ll make smarter choices in running regressions.See (1) here:  http://fivethirtyeight.com/features/you-cant-trust-what-you-read-about-nutrition/ and (2) here: https://github.com/fivethirtyeight/data/tree/master/nutrition-studies.'",b'27'
