title,speaker,description,votes
"b'What I learned by submitting the same FOIA more than 1,000 times'",b'Proposed by: Steven Rich',"b""For The Washington Post's Fatal Force project in 2016, I wanted to know who the officers were who fired shots and killed civilians. So I filed requests with every department that had a fatal shooting on a rolling basis last year. I'll talk about the logistics, what I came across and the best strategies to get your requests filled in a timely manner.""",b'60'
b'Literally Everything The New York Times Knows About Elections',b'Proposed by: Jeremy Bowers',"b'At roughly 400 words per minute, I will tell you everything The New York Times has learned about elections, including why you can\'t use ""democrat"" to look up the democratic party in Minnesota to why you shouldn\'t store delegates as an integer. BONUS: Did you know the US got a new county in 2015? It probably broke your map!'",b'56'
"b""Stuff I've said to FOIA officers to get them to give me ... well, stuff""",b'Proposed by: Cezary Podkul',"b""It's ok to get angry, get sassy or creative in the pursuit of lowering FOI fees or getting documents or data that you're told you can't have. In this lightning talk, I'll share some of my more creative exchanges with FOIA officers that have gotten results.""",b'53'
b'Self-care for Nerds',b'Proposed by: Aditi Bhandari',"b""Most of us spend 8-12 hours on our computers every day. Here's what my parents (an eye doctor and a bone doctor) recommend when it comes to preventing tired eyes and carpal tunnel. I\xe2\x80\x99ll also talk about other tools, tips and exercises I\xe2\x80\x99ve picked up along the way!""",b'52'
b'Subverting the story model in the age of Trump',b'Proposed by: Tyler Fisher',"b'As the Trump administration continues to make news at a blistering pace, newsrooms are searching for new ways of covering the administration. Our skills as data journalists make us particularly well-suited to find those new models. Given the urgency within newsrooms today, we have an opportunity to change newsroom thinking in how we inform our audiences. This talk will show some examples of alternative coverage models as implemented at NPR and suggest directions for the future.'",b'51'
b'Everything I Wasted Time Worrying About as A Newbie Coder',b'Proposed by: Kate Rabinowitz',"b'Looking back on my early days of coding, there was a lot of time wasted worrying about how to be a ""good"" coder. We\'re going to talk about what being a ""good"" coder from the start actually means and common worries of beginner coders that are just a waste of your time.'",b'48'
b'How to collaborate when no one understands what you do',b'Proposed by: Caelainn Barr',"b""Calling all weirdos! Are you the strange numbers reporter, the pretty chart-maker, or the person in the corner who gets excited when your code runs? One of the challenges of working with data and code in the newsroom is getting across what it is you actually do. I'll show you how aggressive collaboration has helped us work better with other editors, reporters and designers in our newsroom.""",b'47'
b'CAR through the ages -- what I learned from collecting every single NICAR program since 1990',b'Proposed by: Christine Zhang',"b'I used to think that ""data journalism"" started in the 2000\'s. Then I dug further into the history of computer assisted reporting (CAR). News nerds have been congregating at this conference since the early 90\'s. Let me take you on a tour of the recent history of CAR, as seen through NICAR conference programs. Like"" CAR Rock 1994"" in Cleveland, where Jennifer LaFleur showed off her maps of San Francisco\'s single men -- overlaid with income data and complete with interviews of some wealthy bachelors themselves. From ""Internet 101"" to ""FoxPro versus Paradox"" to ""Regress for Success"" -- I\'ll show you what\'s changed and what hasn\'t over the years, with fun/embarrassing pictures of some NICAR veterans to boot (like this one from 1994 http://www.drewsullivan.com/staff.html, when the NICAR staff dressed up like the cast of ""Happy Days"").'",b'45'
"b""58 stupid things we learned from mapping all 25,000 of California's election precincts""",b'Proposed by: Joe Fox',"b""We made the most detailed map of California election results ever, which meant harassing all 58 counties and dealing with 58 different ways of reporting election results. We'll condense two months of tears, gin and PDFs into 5 minutes.""",b'38'
"b""Using Uber's open data to understand cities""",b'Proposed by: Cory Kendrick',"b""What is this new open dataset Uber has released? And why should I care? Turns out you can use traffic travel times to understand cities better. Such as: what happens to travel times when there's a metro shutdown? Or when you add bike lanes? Or when it rains? I'll walk you through what exactly Uber Movement data is \xe2\x80\x93 and isn't \xe2\x80\x93 and how to dive in and start using it.""",b'34'
